"address","count","paperID"
"0","0","0"
"Natl Inst Technol, Dept Appl Geol, Raipur, CG, India","2","A0872"
"BVRM, SVECW, Civil Engn Dept, Bhimvaram, India","1","A1692"
"IST, JNTUK, SIT, Kakinada, India","1","A1692"
"Infosys Ltd, Hyderabad, India","1","A1692"
"CSIR, Natl Bot Res Inst, Lucknow 226001, Uttar Pradesh, India","3","A2665"
"Univ Agr & Hort Sci, Dept Nat Resource Management, Coll Forestry, Kodagu 571216, Karnataka, India","3","A1722"
"Univ Agr Sci, Dept Hort, Coll Agr, Mandya 571410, Karnataka, India","1","A1722"
"NASC, ICRAF South Asia, Pusa Campus, New Delhi 110012, India","1","A1722"
"Inst Wood Sci & Technol, Div Tree Improvement, Bangalore 560003, Karnataka, India","2","A1722"
"Uttarakhand Space Applicat Ctr 131, Dept Forest Ecol & Climate Change, Phase 2, Dehra Dun 248006, Uttarakhand, India","1","A1692"
"Indian Inst Remote Sensing, Forestry & Ecol Dept, 4 Kalidas Rd, Dehra Dun 248001, Uttarakhand, India","1","A1692"
"Wildlife Inst India, Dept Habitat Ecol, Post Box 18, Dehra Dun 248001, Uttarakhand, India","3","A1692"
"Chinese Acad Sci, XTBG, Key Lab Trop Forest Ecol, Menglun Town 666303, Yunnan, Peoples R China","2","A3105"
"James Cook Univ, Ctr Trop Environm & Sustainabil Sci TESS, Cairns, Qld 4878, Australia","1","A3105"
"James Cook Univ, Coll Sci & Engn, Cairns, Qld 4878, Australia","1","A3105"
"Chinese Acad Sci, XTBG, Ctr Integrat Conservat, Menglun Town 666303, Yunnan, Peoples R China","1","A3105"
"Guangxi Univ, Coll Forestry, Guangxi Key Lab Forest Ecol & Conservat, Daxuedonglu 100, Nanning 530004, Peoples R China","1","A3105"
"Pondicherry Univ, Dept Ecol & Environm Sci, Kalapet 605014, Puducherry, India","1","A3105"
"Bharathiar Univ, Dept Bot, Root & Soil Biol Lab, Coimbatore 641046, Tamil Nadu, India","1","A3105"
"Shanghai Jiao Tong Univ, Sch Environm Sci & Engn, Shanghai 200240, Peoples R China","1","A0784"
"Univ Lancaster, Pentland Ctr, Lancaster LA1 1YW, England","2","A0784"
"Univ Educ, Lahore, Pakistan","1","A0784"
"Shanghai Jiao Tong Univ, Sch Int & Publ Affairs, Shanghai 200030, Peoples R China","1","A0784"
"Shanghai Jiao Tong Univ, China Inst Urban Governance, 800 Dongchuan Rd, Shanghai 200240, Peoples R China","1","A0784"
"Shanghai Inst Pollut Control & Ecol Secur, Shanghai 200092, Peoples R China","1","A0784"
NA,"3","A3105"
"Bidhan Chandra Krishi Viswavidyalaya, Dept Agr Chem & Soil Sci, Fac Agr, Nadia 741252, W Bengal, India","5","A1692"
"Bihar Agr Univ, Dept Soil Sci & Agr Chem, Bhagalpur 813210, Bihar, India","1","A1692"
"Univ Salford, Sch Sci Engn & Environm, Manchester M5 4WT, Lancs, England","1","A1692"
"Cent Univ Orissa, Dept Biodivers & Conservat Nat Resources, Landiguda 764021, Koraput, India","2","A1032"
"Univ South Dakota, Dept Comp Sci, Vermillion, SD 57069 USA","1","A2665"
"NIH, US Natl Lib Med, Bethesda, MD 20894 USA","1","A2665"
NA,"3","A3010"
"Salim Ali Ctr Ornithol & Nat Hist, Hyderabad 500017, Andhra Pradesh, India","1","A1692"
"Natl Remote Sensing Ctr, Forestry & Ecol Div, Hyderabad 500625, Andhra Pradesh, India","1","A1692"
"Osmania Univ, Dept Bot, Hyderabad 500007, Andhra Pradesh, India","1","A1692"
"Ashoka Trust Res Ecol & Environm, Bangalore 560064, Karnataka, India","2","A1535"
"Dr Hari Singh Gour Vishwavidyalaya, Forest Ecol & Ecosyst Lab, Dept Bot, Sagar 470003, Madhya Pradesh, India","4","A2665"
"SRM Univ AP, Sch Engn & Sci, Dept Environm Sci, Amaravati, Andhra Pradesh, India","1","A2665"
NA,"1","A2658"
"Univ Sheffield, Dept Anim & Plant Sci, Western Bank, Sheffield S10 2TN, S Yorkshire, England","3","A1285"
"Cent Inst Temperate Hort, Srinagar 190007, Jammu & Kashmir, India","6","A1883"
"Mizoram Univ, Dept Bot, Aizawl, Mizoram, India","2","A1118"
NA,"1","A2911"
"Panjab Univ, Dept Bot, Chandigarh 160014, India","4","A1692"
"Panjab Univ, Dept Environm Studies, Chandigarh 160014, India","1","A1692"
"Cent Univ Punjab, Mansa Rd, Bathinda 151001, India","1","A1692"
NA,"1","A2903"
"Mizoram Univ, Dept Forestry, Aizawl 796004, India","2","A1219"
NA,NA,"C0254"
"Univ Yangon, Dept Zool, Kamayut Township 11041, Yangon, Myanmar","4","A1722"
"Minist Agr Livestock & Irrigat, Dept Fisheries, Naypyitaw, Myanmar","3","A1722"
"Tokyo Univ Marine Sci & Technol, Grad Sch Marine Sci & Technol, Minato Ku, Tokyo 1088477, Japan","5","A1722"
"Khulna Univ, Fisheries & Marine Resources Technol Discipline, Khulna 9208, Bangladesh","1","A1722"
NA,"1","A3216"
NA,NA,"C0065"
"Kerala Agr Univ, Coll Forestry, KAU PO, Trichur 680656, Kerala, India","3","A1692"
"Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, KAU PO, Trichur 680656, Kerala, India","1","A1692"
"Arunachal Univ Studies, Namsai 792103, Arunachal Prad, India","1","A1692"
"Dalhousie Univ, Dept Phys & Atmospher Sci, Halifax, NS, Canada","5","A1692"
"Harvard Smithsonian Ctr Astrophys, 60 Garden St, Cambridge, MA 02138 USA","1","A1692"
"NASA, Atmospher Chem & Dynam Lab, Goddard Space Flight Ctr, Greenbelt, MD USA","1","A1692"
"Guru Nanak Dev Univ, Guru Ramdas Sch Planning, Amritsar 143005, Punjab, India","2","A1294"
NA,NA,"B0021"
NA,"1","A2803"
"China Med Univ, Dept Med Lab Sci & Biotechnol, Taichung 40402, Taiwan","3","A1692"
"Can Tho Univ Med & Pharm, Fac Med, Can Tho 94117, Vietnam","1","A1692"
"Asia Univ, Dept Med Lab Sci & Biotechnol, Taichung 41354, Taiwan","2","A1692"
NA,NA,"B0010"
NA,NA,"C0040"
"Vimix Solut Private Ltd, Dehra Dun 248001, India","1","A1722"
"Forest Res Inst, Dept Forest Pathol, Dehra Dun 248006, India","1","A1722"
"Uttarakhand Univ Hort & Forestry, Coll Forestry, Ranichauri 249199, India","1","A1722"
"GB Pant Univ Agr & Technol, Dept Soil Sci, Coll Agr, Pantnagar 263145, Uttar Pradesh, India","1","A1722"
"Indian Inst Technol Kharagpur, Ctr Oceans Rivers Atmosphere & Land Sci, Kharagpur 721302, W Bengal, India","5","A1524"
"Univ Suthanpton, Dept Geog & Environm Sci, Southampton, Hants, England","1","A1524"
"World Resources Inst, Sustainable Landscapes Restorat, New Delhi, India","1","A1524"
"Banaras Hindu Univ, Inst Environm & Sustainable Develeopment, Varanasi, Uttar Pradesh, India","2","A1524"
"Indian Inst Technol Kharagpur, Dept Geol & Geophysiscs, Kharagpur 721302, W Bengal, India","1","A1524"
"Polish Acad Sci, Dept Geoenvironm Res, Inst Geog & Spatial Org, Jana 22, PL-31018 Krakow, Poland","1","A1286"
NA,"1","A3008"
NA,NA,"C0201"
"Birla Inst Technol, Remote Sensing Dept, Ranchi 835215, Jharkhand, India","3","A2665"
"ISRO, Environm Forestry & Microwave Applicat Div EFMD, Forestry Land Use Planning & Photogrammetry Applc, Remote Sensing Applicat & Image Proc Area RESIPA, Ahmadabad 380015, Gujarat, India","3","A2665"
NA,NA,"C0142"
NA,NA,"B0019"
NA,NA,"C0177"
"IIT Kanpur, Dept Civil Engn, Kanpur 208016, Uttar Pradesh, India","3","A2665"
"IIT Kanpur, Ctr Environm Sci & Engn CESE, Atmospher Particle Technol Lab, Kanpur 208016, Uttar Pradesh, India","3","A2665"
"Wildlife Inst India, Ganga Aqualife Conservat & Monitoring Ctr, Dehra Dun, India","3","A2665"
"Wildlife Inst India, Dept Ecodev Planning & Participatory Management, Dehra Dun, India","1","A2665"
"Univ Delhi, Dept Bot, Delhi 110007, India","5","A1524"
"Cent Muga & Eri Res & Training Inst, Ladoigarh, Assam, India","2","A1524"
"Int Ctr Genet Engn & Biotechnol, New Delhi, India","2","A1524"
"Ctr DNA Fingerprinting & Diagnost, Hyderabad, Andhra Pradesh, India","1","A1524"
"Univ Delhi, Ctr Management Degraded Ecosyst, Delhi 110007, India","1","A1524"
"Kerala Agr Univ, Coll Forestry, Dept Silviculture & Agroforestry, Thrissure, Kerala, India","1","A1692"
"Indira Gandhi Krishi Vishwavidyalaya, Coll Agr, Dept Forestry, Raipur 492006, CG, India","2","A1692"
"Kumaun Univ, Dept Bot, Naini Tal 263001, Uttarakhand, India","1","A1692"
"Indian Inst Technol Kharagpur, Kharagpur, W Bengal, India","2","A1722"
"Vidyasagar Univ, Midnapore, W Bengal, India","3","A1722"
"Jadavpur Univ, Kolkata, W Bengal, India","1","A1722"
"Odisha Space Applicat Ctr, Bhubaneswar, Odisha, India","1","A1722"
"Birla Inst Technol, Dept Remote Sensing, Ranchi 835215, Bihar, India","2","A1524"
"Cent Univ Rajasthan, Sch Earth Sci, Dept Environm Sci, Ajmer 305817, Rajasthan, India","1","A1524"
